arabic market name ,price for 1kg,perfume code,compny tag
XXL,48,,EMSA
اتيرنتي رجالي,48,,EMSA
اتيرنتي نسائي,48,,EMSA
اثارة,44,,EMSA
اثارة (م),34,,EMSA
اديداس,64,,EMSA
ارامس 900,54,,EMSA
اير لوي,36,,EMSA
ارماني SI,58,,EMSA
ارماني كود سبورت,52,,EMSA
ارماني مانيا,54,,EMSA
اريع وردات,54,,EMSA
ازرق ازرق,50,,EMSA
ازارو فزت,46,,EMSA
ازارو كروم,46,,EMSA
ازارو هوم,62,,EMSA
ازارو NOW,50,,EMSA
اسكادا تاج,54,,EMSA
اسكادا كرز,50,,EMSA
اسكادا كلكشن,46,,EMSA
اسكادا مون سباركل,42,,EMSA
اسكادا انكريد ابل,52,,EMSA
اسكادا شيري,50,,EMSA
اسكيب,48,,EMSA
اغراء اوربي,58,,EMSA
اغراء نسائي NEW,52,,EMSA
اغراء اسود,53,,EMSA
اغراء خاص فكتوريا سكرت,45,,EMSA
اف سان لوران,52,,EMSA
ايفري وان,54,,EMSA
افشان,48,,EMSA
اكتف مان,54,,EMSA
اكسريوس روج,54,,EMSA
اكسي اتلانتس,42,,EMSA
اكسي الاسكا,42,,EMSA
اكسي شوكلاته NEW,42,,EMSA
اكسي كلك,42,,EMSA
اكسي مارين,42,,EMSA
اكوا دي جيو,48,,EMSA
اماريج,38,,EMSA
امريكان,48,,EMSA
امريكان FR,48,,EMSA
امنية بلكاري,50,,EMSA
امواج,50,,EMSA
امور امور,52,,EMSA
اموكلر,60,,EMSA
امير الشباب,54,,EMSA
انا الملك,46,,EMSA
"انا الملكة ""اسانسيه""",54,,EMSA
FR انسانسية,56,,EMSA
انا وياك,54,,EMSA
انايس انايس,46,,EMSA
انجل نسائي,50,,EMSA
انجل رجالي جديد,50,,EMSA
انفيكتوس باكوروبان,54,,EMSA
انمل,44,,EMSA
انكورا ديفا,54,,EMSA
اوباما اخضره,50,,EMSA
اوليمبيا,52,,EMSA
اوبن اخضر,48,,EMSA
اوراق الورد (م),28,,EMSA
ايفوريا,46,,EMSA
ايكو رجالي,46,,EMSA
اسي مياكي بلو,52,,EMSA
اسي مياكي,50,,EMSA
ايلي صعب,60,,EMSA
الحب الاول,48,,EMSA
الحب المجنون,48,,EMSA
الرحاب,58,,EMSA
اصيل,54,,EMSA
الطريق الى دبي,70,,EMSA
الثلج الاسود,42,,EMSA
البنفسج,38,,EMSA
اليزابيث اردن,50,,EMSA
الشفاه المبللة,62,,EMSA
القلب الشجاع,52,,EMSA
الشيخ زايد,44,,EMSA
الشيخ زايد (م),38,,EMSA
الشيخ زايد كولد,52,,EMSA
الليلة الخاصة,60,,EMSA
الزهرة الخاصة,38,,EMSA
اللور هوم سبورت FR,58,,EMSA
الانوثة من بوس,52,,EMSA
الاسطورة,54,,EMSA
الاحساس السري,60,,EMSA
الادمان العجيب,64,,EMSA
الوردة البيضاء,50,,EMSA
الوردة الحمراء,46,,EMSA
العود الابيض,56,,EMSA
العطر العربي,60,,EMSA
الخيال,64,,EMSA
الحلم الازرق,60,,EMSA
الخط العربي,85,,EMSA
الخلطة الخاصة مع العود,98,,EMSA
السلطانة هويام,54,,EMSA
السعادة الابدية,54,,EMSA
اللمسة الوردية,52,,EMSA
الرهان,44,,EMSA
الوسام,64,,EMSA
المسني,54,,EMSA
اليقين,70,,EMSA
الين (النجمة),60,,EMSA
الـ. اومبر دانس,60,,EMSA
الماء الازرق,54,,EMSA
المتألق,64,,EMSA
الـ. هوم,52,,EMSA
الـ. هوم وايت,54,,EMSA
الشهيرة,64,,EMSA
الفارس,68,,EMSA
بلجر نسائي,48,,EMSA
بلكاري جاسمين نوار,48,,EMSA
بلكاري سبورت,48,,EMSA
بلكاري مان M,52,,EMSA
بلو ترانس,50,,EMSA
بلو شانيل,50,,EMSA
بلو شانيل FR,56,,EMSA
بلو فور مان,52,,EMSA
بلو ليبيل,46,,EMSA
بلو ليدي,54,,EMSA
بورش دزاين,54,,EMSA
بوس المنستس,52,,EMSA
"بوس مان ""هوكو بوس""",48,,EMSA
بوس اورينج,46,,EMSA
بوس بتل,56,,EMSA
بولو بلو,46,,EMSA
بولو كلك,48,,EMSA
بومب شيل,52,,EMSA
بي يونايتد ازرق,60,,EMSA
بيوتفل,46,,EMSA
بيوتفل نسائي,50,,EMSA
بيور بلاك,50,,EMSA
باريس YSL,48,,EMSA
باترا,48,,EMSA
باريس هلتون,48,,EMSA
باي جيفنجي,50,,EMSA
بائعة الورد,60,,EMSA
بخور (كلك فلور),44,,EMSA
بخور عبير,48,,EMSA
برادا كانري,50,,EMSA
برايت كرستال,52,,EMSA
برتقال,36,,EMSA
برشلونا,46,,EMSA
بروت اسود,54,,EMSA
بروت اخضر,48,,EMSA
بروفسي,48,,EMSA
برتني سبيرس,48,,EMSA
بلاك X.S,50,,EMSA
